timestamp,temperature,pressure,humidity
2026-05-14 06:52:47,34.5,7.04,54.9
2026-05-14 06:52:49,29.6,7.04,54.9
2026-05-14 06:52:49,29.6,5.34,54.9
2026-05-14 06:52:49,29.6,5.34,27.8
2026-05-14 06:52:51,20.3,5.34,27.8
2026-05-14 06:52:51,20.3,5.08,27.8
2026-05-14 06:52:51,20.3,5.08,73.9
2026-05-14 06:52:53,76.5,5.08,73.9
2026-05-14 06:52:53,76.5,2.0,73.9
2026-05-14 06:52:53,76.5,2.0,51.9
2026-05-14 06:52:55,47.4,2.0,51.9
2026-05-14 06:52:55,47.4,2.8,51.9
2026-05-14 06:52:55,47.4,2.8,50.0
2026-05-14 06:52:57,67.7,2.8,50.0
2026-05-14 06:52:57,67.7,7.99,50.0
2026-05-14 06:52:57,67.7,7.99,71.0
2026-05-14 06:52:59,34.7,7.99,71.0
2026-05-14 06:52:59,34.7,6.54,71.0
2026-05-14 06:52:59,34.7,6.54,66.8
2026-05-14 06:53:01,69.2,6.54,66.8
2026-05-14 06:53:01,69.2,3.27,66.8
2026-05-14 06:53:01,69.2,3.27,31.6
2026-05-14 06:53:03,20.3,3.27,31.6
2026-05-14 06:53:03,20.3,1.07,31.6
2026-05-14 06:53:03,20.3,1.07,69.1
2026-05-14 06:53:05,26.3,1.07,69.1
2026-05-14 06:53:05,26.3,2.7,69.1
2026-05-14 06:53:05,26.3,2.7,19.8
2026-05-14 06:53:07,37.0,2.7,19.8
2026-05-14 06:53:07,37.0,4.79,19.8
2026-05-14 06:53:07,37.0,4.79,74.5
2026-05-14 06:53:09,63.7,4.79,74.5
2026-05-14 06:53:09,63.7,3.25,74.5
2026-05-14 06:53:09,63.7,3.25,41.5
2026-05-14 06:53:11,51.5,3.25,41.5
2026-05-14 06:53:11,51.5,1.29,41.5
2026-05-14 06:53:11,51.5,1.29,19.0
2026-05-14 06:53:13,69.0,1.29,19.0
2026-05-14 06:53:13,69.0,3.12,19.0
2026-05-14 06:53:13,69.0,3.12,17.4
2026-05-14 06:53:15,16.4,3.12,17.4
2026-05-14 06:53:15,16.4,1.48,17.4
2026-05-14 06:53:15,16.4,1.48,49.2
2026-05-14 06:53:17,53.0,1.48,49.2
2026-05-14 06:53:17,53.0,6.58,49.2
2026-05-14 06:53:17,53.0,6.58,14.6
2026-05-14 06:53:19,43.0,6.58,14.6
2026-05-14 06:53:19,43.0,7.13,14.6
2026-05-14 06:53:19,43.0,7.13,11.6
2026-05-14 06:53:21,53.8,7.13,11.6
2026-05-14 06:53:21,53.8,5.95,11.6
2026-05-14 06:53:21,53.8,5.95,57.7
2026-05-14 06:53:24,55.9,5.95,57.7
2026-05-14 06:53:24,55.9,6.36,57.7
2026-05-14 06:53:25,55.9,6.36,28.7
2026-05-14 06:53:29,23.6,6.36,28.7
2026-05-14 06:53:32,23.6,7.27,28.7
2026-05-14 06:53:33,23.6,7.27,69.5
2026-05-14 06:53:33,77.3,7.27,69.5
2026-05-14 06:53:34,77.3,6.03,69.5
2026-05-14 06:53:35,77.3,6.03,60.5
2026-05-14 06:53:35,16.1,6.03,60.5
2026-05-14 06:53:35,16.1,6.0,60.5
2026-05-14 06:53:36,16.1,6.0,63.3
2026-05-14 06:53:36,63.0,6.0,63.3
2026-05-14 06:53:37,63.0,2.07,63.3
2026-05-14 06:53:37,63.0,2.07,38.0
2026-05-14 06:53:40,22.7,2.07,38.0
2026-05-14 06:53:41,22.7,2.31,38.0
2026-05-14 06:53:43,22.7,2.31,38.9
2026-05-14 06:53:45,44.0,2.31,38.9
2026-05-14 06:53:45,44.0,5.13,38.9
2026-05-14 06:53:46,44.0,5.13,70.6
2026-05-14 06:53:47,44.7,5.13,70.6
2026-05-14 06:53:47,44.7,5.65,70.6
2026-05-14 06:53:47,44.7,5.65,45.0
2026-05-14 06:53:50,36.3,5.65,45.0
2026-05-14 06:53:50,36.3,5.85,45.0
2026-05-14 06:53:51,36.3,5.85,15.4
2026-05-14 06:53:52,13.6,5.85,15.4
2026-05-14 06:53:52,13.6,5.68,15.4
2026-05-14 06:53:56,13.6,5.68,35.9
2026-05-14 06:53:56,56.0,5.68,35.9
2026-05-14 06:53:56,56.0,7.79,35.9
2026-05-14 06:53:56,56.0,7.79,43.0
2026-05-14 06:53:57,23.0,7.79,43.0
2026-05-14 06:53:57,23.0,5.8,43.0
2026-05-14 06:53:57,23.0,5.8,10.9
2026-05-14 06:53:59,67.7,5.8,10.9
2026-05-14 06:53:59,67.7,3.37,10.9
2026-05-14 06:53:59,67.7,3.37,79.8
2026-05-23 11:43:51,66.6,4.23,47.2
2026-05-23 11:43:53,74.7,4.23,47.2
2026-05-23 11:43:53,74.7,2.95,47.2
2026-05-23 11:43:53,74.7,2.95,41.1
2026-05-23 11:43:55,40.4,2.95,41.1
2026-05-23 11:43:55,40.4,6.2,41.1
2026-05-23 11:43:55,40.4,6.2,22.9
2026-05-23 11:43:57,70.0,6.2,22.9
2026-05-23 11:43:57,70.0,6.66,22.9
2026-05-23 11:43:57,70.0,6.66,23.7
2026-05-23 11:43:59,13.0,6.66,23.7
2026-05-23 11:43:59,13.0,3.38,23.7
2026-05-23 11:43:59,13.0,3.38,47.1
2026-05-23 11:44:01,46.0,3.38,47.1
2026-05-23 11:44:01,46.0,7.87,47.1
2026-05-23 11:44:01,46.0,7.87,36.1
2026-05-23 11:44:03,11.7,7.87,36.1
2026-05-23 11:44:03,11.7,4.03,36.1
2026-05-23 11:44:03,11.7,4.03,33.4
2026-05-23 11:44:05,35.8,4.03,33.4
2026-05-23 11:44:05,35.8,2.14,33.4
2026-05-23 11:44:05,35.8,2.14,77.3
2026-05-23 11:44:07,37.3,2.14,77.3
2026-05-23 11:44:07,37.3,6.49,77.3
2026-05-23 11:44:07,37.3,6.49,44.9
2026-05-23 11:44:09,53.6,6.49,44.9
2026-05-23 11:44:09,53.6,6.92,44.9
2026-05-23 11:44:09,53.6,6.92,18.9
2026-05-23 11:44:11,10.7,6.92,18.9
2026-05-23 11:44:11,10.7,6.32,18.9
2026-05-23 11:44:11,10.7,6.32,74.9
2026-05-23 11:44:13,23.8,6.32,74.9
2026-05-23 11:44:13,23.8,7.15,74.9
2026-05-23 11:44:13,23.8,7.15,20.9
2026-05-23 11:44:15,15.9,7.15,20.9
2026-05-23 11:44:15,15.9,6.4,20.9
2026-05-23 11:44:15,15.9,6.4,73.5
2026-05-23 11:44:17,79.0,6.4,73.5
2026-05-23 11:44:17,79.0,2.42,73.5
2026-05-23 11:44:17,79.0,2.42,24.7
2026-05-23 11:44:19,67.5,2.42,24.7
2026-05-23 11:44:19,67.5,4.92,24.7
2026-05-23 11:44:19,67.5,4.92,20.5
2026-05-23 11:44:21,35.4,4.92,20.5
2026-05-23 11:44:21,35.4,4.39,20.5
2026-05-23 11:44:21,35.4,4.39,76.0
2026-05-23 11:44:23,74.2,4.39,76.0
2026-05-23 11:44:23,74.2,2.72,76.0
2026-05-23 11:44:23,74.2,2.72,19.4
2026-05-23 11:44:26,79.5,2.72,19.4
2026-05-23 11:44:26,79.5,7.34,19.4
2026-05-23 11:44:26,79.5,7.34,59.2
2026-05-23 11:44:28,14.0,7.34,59.2
2026-05-23 11:44:28,14.0,3.01,59.2
2026-05-23 11:44:28,14.0,3.01,37.5
2026-05-23 11:44:30,10.6,3.01,37.5
2026-05-23 11:44:30,10.6,1.71,37.5
2026-05-23 11:44:30,10.6,1.71,54.7
2026-05-23 11:44:32,53.7,1.71,54.7
2026-05-23 11:44:32,53.7,3.59,54.7
2026-05-23 11:44:32,53.7,3.59,33.7
2026-05-23 11:44:34,31.3,3.59,33.7
2026-05-23 11:44:34,31.3,5.72,33.7
2026-05-23 11:44:34,31.3,5.72,23.6
2026-05-23 11:44:36,78.7,5.72,23.6
2026-05-23 11:44:36,78.7,3.46,23.6
2026-05-23 11:44:36,78.7,3.46,17.4
2026-05-23 11:44:38,58.0,3.46,17.4
2026-05-23 11:44:38,58.0,4.01,17.4
2026-05-23 11:44:38,58.0,4.01,63.5
